names,projected,actual,position
49ers D/ST,7.7,3.0,DST
A.J. Derby,3.4,0.0,TE
A.J. Green,,0.0,WR
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Ripkowski,,7.0,RB
Aaron Rodgers,18.8,15.0,QB
Adam Humphries,4.5,1.0,WR
Adam Thielen,6.3,6.0,WR
Adam Vinatieri,8.2,13.0,K
Adrian Peterson,,0.0,RB
Ahmad Bradshaw,,0.0,RB
Albert Wilson,5.6,15.0,WR
Aldrick Robinson,,7.0,WR
Alex Collins,2.2,,
Alex Erickson,,1.0,WR
Alex Smith,15.8,0.0,TE
Alfred Blue,,3.0,RB
Alfred Morris,3.1,1.0,RB
Allen Robinson,7.6,3.0,WR
Amari Cooper,9.9,11.0,WR
Andre Ellington,,1.0,RB
Andre Holmes,,0.0,WR
Andre Jerome Caldwell,,0.0,WR
Andre Roberts,6.1,3.0,WR
Andrew Franks,5.4,-1.0,K
Andrew Luck,15.5,29.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,12.3,21.0,QB
Anquan Boldin,8.3,4.0,WR
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antone Smith,,0.0,RB
Antonio Brown,13.9,11.0,WR
Antonio Gates,7.2,3.0,TE
Arian Foster,,0.0,RB
Arrelious Benn,,0.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,3.6,0.0,TE
Austin Seferian-Jenkins,,2.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,7.9,15.0,DST
Beau Sandland,,0.0,TE
Ben Braunecker,,0.0,TE
Ben Koyack,2.0,0.0,TE
Ben Roethlisberger,17.6,17.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,8.6,7.0,DST
Benjamin Cunningham,,0.0,RB
Benjamin Watson,,0.0,TE
Bernard Pierce,,0.0,RB
Bilal Powell,4.2,0.0,RB
Bills D/ST,6.2,-4.0,DST
Bishop Sankey,,0.0,RB
Blaine Gabbert,,1.0,QB
Blair Walsh,,0.0,K
Blake Annen,,0.0,TE
Blake Bell,,0.0,TE
Blake Bortles,13.2,9.0,QB
Bobby Rainey,,0.0,RB
Boobie Dixon,,0.0,RB
Brandin Cooks,9.0,7.0,WR
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Bostick,,1.0,TE
Brandon Coleman,1.8,,
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,6.2,15.0,WR
Brandon Marshall,8.8,4.0,WR
Brandon McManus,7.6,9.0,K
Brandon Myers,,0.0,TE
