names,projected,actual,position
49ers D/ST,4.7,0.0,DST
A.J. Green,10.0,7.0,WR
AJ Derby,,0.0,TE
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Rodgers,19.2,26.0,QB
Adam Humphries,3.8,10.0,WR
Adam Thielen,4.0,2.0,WR
Adam Vinatieri,9.2,8.0,K
Adrian Peterson,,0.0,RB
Ahmad Bradshaw,,0.0,RB
Aldrick Robinson,,0.0,WR
Alex Collins,5.0,2.0,RB
Alex Smith,15.7,0.0,TE
Alex Tanney,,0.0,QB
Alfred Blue,,1.0,RB
Alfred Morris,4.4,7.0,RB
Allen Hurns,7.1,4.0,WR
Allen Robinson,11.6,17.0,WR
Alshon Jeffery,10.8,7.0,WR
Amari Cooper,10.0,6.0,WR
Andre Ellington,,0.0,RB
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,4.2,0.0,WR
Andre Roberts,,0.0,WR
Andrew Franks,7.5,6.0,K
Andrew Hawkins,4.0,1.0,WR
Andrew Luck,18.1,13.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,13.5,10.0,QB
Andy Janovich,,1.0,RB
Anquan Boldin,5.3,8.0,WR
Anthony Fasano,3.6,0.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antone Smith,,0.0,RB
Antonio Brown,14.8,14.0,WR
Antonio Gates,,0.0,TE
Arian Foster,,0.0,RB
Arrelious Benn,,0.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,,0.0,TE
Austin Seferian-Jenkins,,0.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,5.1,-2.0,DST
Ben Koyack,,0.0,TE
Ben Roethlisberger,17.1,6.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,8.2,4.0,DST
Benjamin Cunningham,,3.0,RB
Benjamin Watson,,0.0,TE
Bennie Fowler,,1.0,WR
Bernard Pierce,,0.0,RB
Bilal Powell,3.9,5.0,RB
Bills D/ST,6.3,21.0,DST
Billy Cundiff,,0.0,K
Blaine Gabbert,11.4,4.0,QB
Blair Walsh,7.5,6.0,K
Blake Annen,,0.0,TE
Blake Bell,,0.0,TE
Blake Bortles,17.1,10.0,QB
Bobby Rainey,,2.0,RB
Boobie Dixon,,0.0,RB
Bradley Marquez,,1.0,WR
Brandin Cooks,9.8,1.0,WR
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Bostick,,0.0,TE
Brandon Coleman,,7.0,WR
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,3.1,3.0,WR
Brandon Marshall,7.3,2.0,WR
Brandon McManus,6.4,5.0,K
Brandon Myers,,0.0,TE
Brandon Pettigrew,,0.0,TE
Brandon Tate,3.2,0.0,WR
Brandon Weeden,,0.0,QB
Brandon Williams,,0.0,TE
Brent Celek,,6.0,TE
Breshad Perriman,3.1,2.0,WR
Brett Hundley,,0.0,QB
Brian Hartline,,0.0,WR
Brian Hoyer,14.4,18.0,QB
Brian Leonhardt,,0.0,TE
Brian Quick,,11.0,WR
Brock Osweiler,14.7,6.0,QB
Broncos D/ST,8.1,9.0,DST
Browns D/ST,5.2,9.0,DST
Bruce Gradkowski,,0.0,QB
Bruce Miller,,0.0,TE
Bryan Walters,,0.0,WR
Bryce Brown,,0.0,RB
Bryce Petty,,0.0,QB
Buccaneers D/ST,7.3,8.0,DST
Busta Anderson,,0.0,TE
C.J. Anderson,12.5,3.0,RB
C.J. Fiedorowicz,,0.0,TE
C.J. Spiller,,0.0,RB
C.J. Uzomah,3.3,3.0,TE
Cairo Santos,7.7,6.0,K
Caleb Sturgis,6.6,10.0,K
Calvin Johnson,,0.0,WR
Cam Newton,19.8,12.0,QB
