names,projected,actual,position
49ers D/ST,5.7,14.0,DST
A.J. Green,10.1,24.0,WR
AJ Derby,,0.0,TE
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Rodgers,19.6,22.0,QB
Adam Humphries,3.1,3.0,WR
Adam Thielen,2.8,5.0,WR
Adam Vinatieri,9.6,12.0,K
Adrian Peterson,14.0,3.0,RB
Ahmad Bradshaw,,0.0,RB
Albert Wilson,2.9,,
Aldrick Robinson,,0.0,WR
Alex Smith,16.6,0.0,TE
Alex Tanney,,0.0,QB
Alfred Morris,2.9,3.0,RB
Allen Hurns,5.7,7.0,WR
Allen Robinson,11.0,7.0,WR
Alshon Jeffery,9.3,10.0,WR
Amari Cooper,10.1,15.0,WR
Ameer Abdullah,8.3,17.0,RB
Andre Ellington,,0.0,RB
Andre Holmes,,0.0,WR
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,3.0,3.0,WR
Andre Roberts,,0.0,WR
Andrew Franks,5.5,4.0,K
Andrew Hawkins,3.7,0.0,WR
Andrew Luck,17.9,35.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,14.5,16.0,QB
Andy Janovich,,8.0,RB
Anquan Boldin,5.4,3.0,WR
Anthony Fasano,,0.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antone Smith,,0.0,RB
Antonio Brown,15.1,24.0,WR
Antonio Gates,5.9,2.0,TE
Arian Foster,6.8,9.0,RB
Arrelious Benn,,0.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,,1.0,TE
Austin Seferian-Jenkins,3.0,9.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,5.5,4.0,DST
Ben Koyack,,0.0,TE
Ben Roethlisberger,17.9,22.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,6.9,5.0,DST
Benjamin Cunningham,2.7,0.0,RB
Benjamin Watson,,0.0,TE
Bernard Pierce,,0.0,RB
Bilal Powell,5.3,4.0,RB
Bills D/ST,6.8,9.0,DST
Billy Cundiff,,0.0,K
Bishop Sankey,,0.0,RB
Blaine Gabbert,13.1,14.0,QB
Blair Walsh,8.4,14.0,K
Blake Annen,,0.0,TE
Blake Bell,,0.0,TE
Blake Bortles,14.4,14.0,QB
Bobby Rainey,,0.0,RB
Boobie Dixon,,0.0,RB
Bradley Marquez,2.7,,
Brandin Cooks,8.7,27.0,WR
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Bostick,,0.0,TE
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,4.1,9.0,WR
Brandon Marshall,9.9,3.0,WR
Brandon McManus,7.2,3.0,K
Brandon Myers,,6.0,TE
Brandon Pettigrew,,0.0,TE
Brandon Tate,,0.0,WR
Brandon Weeden,,0.0,QB
Brandon Williams,,0.0,TE
Braxton Miller,4.2,,
Brent Celek,,1.0,TE
Breshad Perriman,,3.0,WR
Brett Hundley,,0.0,QB
Brian Hartline,,0.0,WR
Brian Hoyer,,0.0,QB
Brian Leonhardt,,0.0,TE
Brian Quick,,2.0,WR
Brice Butler,,1.0,WR
Brock Osweiler,15.4,16.0,QB
Broncos D/ST,6.8,5.0,DST
Browns D/ST,5.3,-2.0,DST
Bruce Gradkowski,,0.0,QB
Bruce Miller,,0.0,TE
Bryan Walters,,0.0,WR
Bryce Brown,,0.0,RB
Bryce Petty,,0.0,QB
Buccaneers D/ST,6.3,2.0,DST
Busta Anderson,,0.0,TE
C.J. Anderson,9.6,25.0,RB
C.J. Fiedorowicz,,0.0,TE
C.J. Prosise,3.3,1.0,RB
C.J. Spiller,,0.0,RB
C.J. Uzomah,3.2,5.0,TE
Cairo Santos,8.2,10.0,K
Caleb Sturgis,7.4,8.0,K
Calvin Johnson,,0.0,WR
Cam Newton,16.9,20.0,QB
Cameron Brate,3.1,3.0,TE
Cardale Jones,,0.0,QB
Cardinals D/ST,7.7,5.0,DST
Carlos Hyde,10.3,20.0,RB
Carson Palmer,16.7,18.0,QB
Carson Wentz,16.1,19.0,QB
Case Keenum,10.6,2.0,QB
Cecil Shorts III,,0.0,WR
Cedric Peerman,,0.0,RB
Chad Henne,,0.0,QB
Chandler Catanzaro,8.0,2.0,K
Charcandrick West,6.7,2.0,RB
Chargers D/ST,4.3,1.0,DST
Charles Clay,4.7,4.0,TE
Charles Johnson,4.2,,
Charles Sims,6.4,9.0,RB
Charlie Whitehurst,,0.0,QB
Chase Coffman,,0.0,TE
Chase Daniel,,0.0,QB
Chase Ford,,0.0,TE
Chase Reynolds,,0.0,RB
Chiefs D/ST,6.2,0.0,DST
Chris Boswell,7.9,9.0,K
Chris Conley,5.7,4.0,WR
Chris Gragg,,0.0,TE
Chris Hogan,5.8,12.0,WR
Chris Ivory,,0.0,RB
Chris Johnson,2.8,0.0,RB
Chris Manhertz,,0.0,TE
Chris Moore,,1.0,WR
Chris Pantale,,0.0,TE
Chris Polk,,0.0,RB
Chris Thompson,4.0,9.0,RB
Christian Hackenberg,,0.0,QB
Christian Ponder,,0.0,QB
Christine Michael,8.6,6.0,RB
Clark Harris,,0.0,TE
Clay Harbor,,0.0,TE
Clive Walford,6.5,2.0,TE
Coby Fleener,6.7,0.0,TE
Cody Kessler,,0.0,QB
Cody Parkey,,0.0,K
Cole Beasley,3.0,6.0,WR
Colin Kaepernick,,0.0,QB
Colt McCoy,,0.0,QB
Colts D/ST,5.5,-5.0,DST
Connor Barth,6.4,2.0,K
Connor Cook,,0.0,QB
Connor Shaw,,0.0,QB
Cooper Helfet,,0.0,TE
Corey Brown,,1.0,WR
Corey Coleman,6.6,6.0,WR
Cory Harkey,,0.0,RB
Cowboys D/ST,,4.0,DST
Craig Stevens,,0.0,TE
Crockett Gillmore,3.2,0.0,TE
Cyrus Gray,,0.0,RB
D.J. Williams,,0.0,TE
Dak Prescott,16.3,10.0,QB
Damien Williams,,2.0,RB
Dan Bailey,8.4,17.0,K
Dan Carpenter,7.5,0.0,K
Dan LeFevour,,0.0,QB
Dan Orlovsky,,0.0,QB
Danario Alexander,,0.0,WR
Daniel Fells,,0.0,TE
Daniel Herron,,0.0,RB
Daniel Thomas,,0.0,RB
Danny Amendola,,4.0,WR
Danny Woodhead,6.9,17.0,RB
Darrel Young,,0.0,RB
Darren Fells,,0.0,TE
Darren McFadden,,0.0,RB
Darren Sproles,5.9,3.0,RB
Darren Waller,,0.0,TE
Darrius Heyward-Bey,4.2,0.0,WR
Daryl Richardson,,0.0,RB
Davante Adams,3.4,11.0,WR
David Ausberry,,0.0,TE
David Fales,,0.0,QB
David Johnson,11.4,0.0,TE
DeAndre Hopkins,11.2,11.0,WR
DeAndre Washington,4.1,2.0,RB
DeAngelo Williams,13.2,28.0,RB
DeMarco Murray,9.9,17.0,RB
DeSean Jackson,9.1,10.0,WR
Delanie Walker,7.0,4.0,TE
Demaryius Thomas,8.4,4.0,WR
Demetrius Harris,,2.0,TE
Denard Robinson,,0.0,RB
Denarius Moore,,0.0,WR
Dennis Pitta,,3.0,TE
Derek Anderson,,0.0,QB
Derek Carr,18.0,21.0,QB
Derek Carrier,,0.0,TE
Derek Hagan,,0.0,WR
Derrick Coleman,,0.0,RB
Derrick Henry,6.2,4.0,RB
Devin Funchess,4.9,,
Devin Hester,,0.0,WR
Devonta Freeman,12.1,4.0,RB
Devontae Booker,4.5,,
Dexter McCluster,,0.0,RB
Dez Bryant,10.4,0.0,WR
Dion Lewis,,0.0,RB
Dion Sims,,0.0,TE
Dolphins D/ST,3.6,11.0,DST
Dominique Jones,,0.0,TE
Donald Brown,,0.0,RB
Donte Moncrief,9.2,12.0,WR
Dorial Green-Beckham,3.1,1.0,WR
Doug Baldwin,9.0,15.0,WR
Doug Martin,10.5,9.0,RB
Drew Brees,17.5,30.0,QB
Drew Stanton,,0.0,QB
Dri Archer,,0.0,RB
DuJuan Harris,,0.0,RB
Duke Johnson Jr.,6.6,4.0,RB
Dustin Hopkins,7.9,11.0,K
Dustin Vaughan,,0.0,QB
