names,projected,actual,position
49ers D/ST,2.6,-9.0,DST
A.J. Derby,,0.0,TE
Aaron Murray,,0.0,QB
Aaron Ripkowski,4.7,,
Aaron Rodgers,22.1,25.0,QB
Adam Humphries,5.2,10.0,WR
Adam Thielen,5.2,6.0,WR
Adam Vinatieri,8.8,7.0,K
Adrian Peterson,,0.0,RB
Ahmad Bradshaw,,0.0,RB
Alan Cross,,0.0,TE
Albert Wilson,0.3,10.0,WR
Aldrick Robinson,0.4,0.0,WR
Alex Smith,,0.0,QB
Alex Tanney,,0.0,QB
Alfred Morris,3.1,5.0,RB
Allen Hurns,7.5,,
Allen Robinson,9.3,13.0,WR
Amari Cooper,8.3,5.0,WR
Ameer Abdullah,,0.0,RB
Andre Holmes,,2.0,WR
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,,0.0,WR
Andre Roberts,0.5,2.0,WR
Andre Williams,,0.0,RB
Andrew Franks,7.2,9.0,K
Andrew Hawkins,2.4,1.0,WR
Andrew Luck,18.0,12.0,QB
Andrew Quarless,,0.0,TE
Andy Janovich,0.4,,
Anquan Boldin,5.2,7.0,WR
Anthony Fasano,0.5,0.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,0.3,0.0,RB
Antone Smith,7.9,2.0,RB
Antonio Andrews,,1.0,RB
Antonio Brown,12.2,14.0,WR
Antonio Gates,8.1,13.0,TE
Arian Foster,,0.0,RB
Arrelious Benn,,1.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,5.2,10.0,TE
Austin Johnson,,0.0,RB
Austin Seferian-Jenkins,,0.0,TE
Beau Sandland,,0.0,TE
Ben Koyack,,0.0,TE
Ben Roethlisberger,15.6,18.0,QB
Ben Tate,,0.0,RB
Benjamin Cunningham,0.5,4.0,RB
Benjamin Watson,,0.0,TE
Bernard Pierce,,0.0,RB
Bilal Powell,5.1,4.0,RB
Bills D/ST,6.3,7.0,DST
Billy Cundiff,,0.0,K
Bishop Sankey,,0.0,RB
Blaine Gabbert,,0.0,QB
Blair Walsh,8.3,3.0,K
Blake Annen,,0.0,TE
Blake Bell,,0.0,TE
Blake Bortles,14.4,21.0,QB
Bobby Rainey,2.6,0.0,RB
Boobie Dixon,,0.0,RB
Braedon Bowman,,0.0,TE
Branden Oliver,,0.0,RB
Brandin Cooks,8.9,6.0,WR
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bostick,,0.0,TE
Brandon Coleman,1.9,2.0,WR
Brandon Doughty,,0.0,QB
Brandon Marshall,9.3,4.0,WR
Brandon McManus,7.6,11.0,K
Brandon Myers,,2.0,TE
Brandon Pettigrew,,0.0,TE
Brandon Tate,,0.0,WR
Brandon Williams,,1.0,TE
Brent Celek,,0.0,TE
Breshad Perriman,4.0,3.0,WR
Brett Hundley,,0.0,QB
Brian Hartline,,0.0,WR
Brian Leonhardt,,0.0,TE
Brian Parker,,0.0,TE
Brian Quick,5.5,4.0,WR
Brice Butler,0.4,,
Broncos D/ST,5.7,0.0,DST
Browns D/ST,5.1,-6.0,DST
Bruce Gradkowski,,0.0,QB
Bruce Miller,,0.0,TE
Bryce Brown,,0.0,RB
Bryce Petty,,0.0,QB
Bryce Treggs,,6.0,WR
Buccaneers D/ST,4.4,-4.0,DST
Busta Anderson,,0.0,TE
C.J. Anderson,,0.0,RB
C.J. Prosise,5.4,,
C.J. Spiller,,0.0,RB
Cairo Santos,8.9,15.0,K
Caleb Sturgis,7.7,10.0,K
Calvin Johnson,,0.0,WR
Cam Newton,17.5,14.0,QB
Cameron Brate,5.2,10.0,TE
Cardale Jones,,0.0,QB
Carlos Hyde,,0.0,RB
Carson Wentz,12.5,10.0,QB
Case Keenum,12.8,13.0,QB
Cecil Shorts III,4.8,2.0,WR
Chad Henne,,0.0,QB
Charcandrick West,14.4,6.0,RB
Chargers D/ST,8.2,14.0,DST
Charles Clay,4.2,0.0,TE
Charles Sims,,0.0,RB
Charlie Whitehurst,,0.0,QB
Charone Peake,1.3,,
Chase Coffman,,0.0,TE
Chase Daniel,,0.0,QB
Chase Ford,,0.0,TE
Chase Reynolds,,0.0,RB
Chester Rogers,0.4,,
Chiefs D/ST,9.9,8.0,DST
Chris Boswell,7.2,2.0,K
Chris Conley,4.3,2.0,WR
Chris Givens,,0.0,WR
Chris Gragg,,0.0,TE
Chris Ivory,4.0,8.0,RB
Chris Manhertz,,0.0,TE
Chris Moore,,6.0,WR
Chris Owusu,,0.0,WR
Chris Pantale,,0.0,TE
Christian Hackenberg,,0.0,QB
Christian Ponder,,0.0,QB
Christine Michael,11.6,6.0,RB
Clay Harbor,,0.0,TE
Clive Walford,3.4,1.0,TE
Coby Fleener,5.1,4.0,TE
Cody Kessler,12.8,13.0,QB
Cody Parkey,7.2,3.0,K
Cole Beasley,5.5,11.0,WR
Cole Wick,,0.0,TE
Colin Kaepernick,15.6,21.0,QB
Colts D/ST,5.1,8.0,DST
Connor Cook,,0.0,QB
Cooper Helfet,,0.0,TE
Cordarrelle Patterson,4.3,4.0,WR
Corey Brown,3.9,1.0,WR
Corey Coleman,7.6,4.0,WR
Cory Harkey,,0.0,RB
Cowboys D/ST,7.7,9.0,DST
Craig Stevens,,0.0,TE
Crockett Gillmore,,0.0,TE
Cyrus Gray,,0.0,RB
Dak Prescott,16.2,23.0,QB
Damien Williams,4.0,4.0,RB
Dan Bailey,10.0,5.0,K
Dan Carpenter,6.6,4.0,K
Dan LeFevour,,0.0,QB
Dan Orlovsky,,0.0,QB
Dan Vitale,,0.0,TE
Danario Alexander,,0.0,WR
Daniel Fells,,0.0,TE
Daniel Herron,,0.0,RB
Daniel Thomas,,0.0,RB
Danny Woodhead,,0.0,RB
Darren McFadden,,0.0,RB
Darren Sproles,5.9,6.0,RB
Darren Waller,,1.0,TE
Darrin Reaves,,0.0,RB
Darrius Heyward-Bey,2.9,0.0,WR
Daryl Richardson,,0.0,RB
Davante Adams,9.5,10.0,WR
David Ausberry,,0.0,TE
David Cobb,,0.0,RB
David Johnson,,1.0,TE
David Morgan II,,0.0,TE
De'Anthony Thomas,0.5,,
DeAndre Washington,2.9,3.0,RB
DeAngelo Williams,1.5,0.0,RB
DeMarco Murray,13.0,13.0,RB
DeVante Parker,6.8,,
DeVier Posey,,0.0,WR
Delanie Walker,6.8,10.0,TE
Demaryius Thomas,9.3,5.0,WR
Demetrius Harris,2.0,0.0,TE
Denard Robinson,,0.0,RB
Denarius Moore,,0.0,WR
Dennis Pitta,6.6,1.0,TE
Derek Anderson,,0.0,QB
Derek Carr,13.4,7.0,QB
Derek Hagan,,0.0,WR
Derrick Coleman,,0.0,RB
Derrick Henry,5.5,,
Devin Funchess,3.0,2.0,WR
Devin Hester,,0.0,WR
Devonta Freeman,13.8,9.0,RB
Devontae Booker,13.9,2.0,RB
Dexter McCluster,,0.0,RB
Dez Bryant,9.4,1.0,WR
Dillon Gordon,,0.0,TE
Dion Sims,,0.0,TE
Dolphins D/ST,5.6,13.0,DST
Dominique Jones,0.4,10.0,TE
Don Jackson,3.9,1.0,RB
Donte Moncrief,8.8,11.0,WR
Dontrelle Inman,5.4,5.0,WR
Dorial Green-Beckham,5.7,,
Doug Baldwin,7.7,8.0,WR
Doug Martin,,0.0,RB
Drew Brees,19.8,24.0,QB
Dri Archer,,0.0,RB
DuJuan Harris,8.4,17.0,RB
Duke Johnson Jr.,6.5,4.0,RB
Dustin Vaughan,,0.0,QB
Dwayne Allen,3.4,1.0,TE
Dwayne Bowe,,0.0,WR
Dwayne Harris,,0.0,WR
Dwayne Washington,,2.0,RB
Dylan Thompson,,0.0,QB
E.J. Bibbs,,0.0,TE
EJ Manuel,,0.0,QB
Eagles D/ST,7.1,4.0,DST
Ed Dickson,,1.0,TE
Eddie Lacy,,0.0,RB
Eli Manning,11.2,22.0,QB
Eli Rogers,1.7,10.0,WR
Emmanuel Sanders,9.3,4.0,WR
Eric Decker,,0.0,WR
Eric Ebron,6.9,9.0,TE
Eric Weems,,0.0,WR
Erik Swoope,,0.0,TE
Ezekiel Elliott,18.3,21.0,RB
Falcons D/ST,6.9,4.0,DST
Fitzgerald Toussaint,,0.0,RB
Fozzy Whittaker,2.6,0.0,RB
Frank Gore,9.6,19.0,RB
Fred Jackson,,0.0,RB
Freddie Martino,3.0,,
Garrett Celek,1.9,7.0,TE
Garrett Graham,,0.0,TE
Garrett Grayson,,0.0,QB
Garrett Hartley,,0.0,K
Gary Barnidge,5.4,2.0,TE
Gavin Escobar,,6.0,TE
Geno Smith,,0.0,QB
Geoff Swaim,,1.0,TE
George Winn,,0.0,RB
Gerald Christian,,0.0,TE
Giants D/ST,8.3,5.0,DST
Glenn Winston,,0.0,RB
Golden Tate,7.6,13.0,WR
Graham Gano,7.4,6.0,K
Greg Jennings,,0.0,WR
Greg Little,,0.0,WR
Greg Olsen,7.7,11.0,TE
Greg Salas,,0.0,WR
Greg Zuerlein,6.4,2.0,K
Hakeem Nicks,,0.0,WR
Harry Douglas,0.6,4.0,WR
Hunter Henry,,0.0,TE
Isaiah Crowell,9.0,6.0,RB
Isaiah Pead,,0.0,RB
Jace Amaro,,0.0,TE
Jack Doyle,4.2,6.0,TE
Jacob Tamme,,0.0,TE
Jacoby Jones,,0.0,WR
Jacquizz Rodgers,,0.0,RB
Jaguars D/ST,7.2,4.0,DST
Jake Rudock,,0.0,QB
Jake Stoneburner,,0.0,TE
Jalen Richard,2.0,7.0,RB
Jalin Marshall,0.4,11.0,WR
Jalston Fowler,,0.0,RB
Jamaal Charles,,0.0,RB
Jameis Winston,18.1,21.0,QB
James Casey,,0.0,TE
James Hanna,,0.0,TE
James Jones,,0.0,WR
James O'Shaughnessy,,0.0,TE
James Starks,,0.0,RB
Jamize Olawale,0.4,0.0,RB
Jared Cook,,0.0,TE
Jared Goff,,0.0,QB
Jarius Wright,,0.0,WR
Jarvis Landry,10.2,3.0,WR
Jason Avant,,0.0,WR
Jason Myers,6.3,1.0,K
Jason Witten,5.7,19.0,TE
Javorius Allen,,0.0,RB
Jay Ajayi,10.9,18.0,RB
Jeff Cumberland,,0.0,TE
Jeff Heuerman,,0.0,TE
Jeff Janis,4.8,2.0,WR
Jerell Adams,,2.0,TE
Jeremy Kerley,5.5,2.0,WR
Jeremy Maclin,7.0,0.0,WR
Jeremy Ross,,0.0,WR
Jerick McKinnon,8.5,0.0,RB
Jermaine Kearse,4.4,3.0,WR
Jerome Cunningham,,0.0,TE
Jerome Felton,,0.0,RB
Jerome Simpson,,0.0,WR
Jerricho Cotchery,,0.0,WR
Jerrod Johnson,,0.0,QB
Jesse James,3.7,1.0,TE
