names,projected,actual,position
49ers D/ST,6.2,2.0,DST
A.J. Green,14.0,5.0,WR
AJ Derby,,0.0,TE
AJ McCarron,,0.0,QB
Aaron Ripkowski,,1.0,RB
Aaron Rodgers,17.0,15.0,QB
Adam Humphries,4.6,3.0,WR
Adam Thielen,4.1,18.0,WR
Adam Vinatieri,9.7,23.0,K
Adrian Peterson,,0.0,RB
Ahmad Bradshaw,,0.0,RB
Alan Cross,,0.0,TE
Aldrick Robinson,1.4,0.0,WR
Alex Smith,,0.0,TE
Alex Tanney,,0.0,QB
Alfred Blue,1.4,3.0,RB
Alfred Morris,3.0,3.0,RB
Alshon Jeffery,11.5,7.0,WR
Amari Cooper,8.6,21.0,WR
Andre Ellington,1.7,1.0,RB
Andre Holmes,,1.0,WR
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,4.3,7.0,WR
Andre Roberts,,0.0,WR
Andre Williams,,0.0,RB
Andrew Franks,6.8,5.0,K
Andrew Hawkins,3.7,11.0,WR
Andrew Luck,17.9,21.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,16.1,21.0,QB
Anquan Boldin,5.4,4.0,WR
Anthony Denham,,0.0,TE
Anthony Fasano,,1.0,TE
Antone Smith,,0.0,RB
Antonio Andrews,,0.0,RB
Antonio Brown,14.9,13.0,WR
Antonio Gates,4.7,7.0,TE
Arian Foster,,0.0,RB
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,1.5,1.0,TE
Austin Seferian-Jenkins,,1.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,5.0,3.0,DST
Beau Sandland,,0.0,TE
Ben Braunecker,,0.0,TE
Ben Roethlisberger,18.1,29.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,6.7,-1.0,DST
Benjamin Cunningham,,0.0,RB
Benjamin Watson,,0.0,TE
Bennie Fowler,,1.0,WR
Bernard Pierce,,0.0,RB
Bilal Powell,5.2,5.0,RB
Bills D/ST,10.1,16.0,DST
Billy Cundiff,,0.0,K
Bishop Sankey,,0.0,RB
Blaine Gabbert,12.0,19.0,QB
Blair Walsh,8.2,7.0,K
Blake Annen,,0.0,TE
Blake Bell,1.6,0.0,TE
Bobby Rainey,4.3,7.0,RB
Boobie Dixon,,0.0,RB
Braedon Bowman,,0.0,TE
Branden Oliver,,0.0,RB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Bostick,,0.0,TE
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,5.1,18.0,WR
Brandon Marshall,10.9,17.0,WR
Brandon McManus,7.7,12.0,K
Brandon Myers,,1.0,TE
Brandon Pettigrew,,0.0,TE
Brandon Tate,,0.0,WR
Brandon Weeden,,0.0,QB
Braxton Miller,2.6,1.0,WR
Brent Celek,,0.0,TE
Breshad Perriman,4.4,1.0,WR
Brett Hundley,,0.0,QB
Brian Hartline,,0.0,WR
Brian Hoyer,14.2,23.0,QB
Brian Leonhardt,,0.0,TE
Brian Parker,,0.0,TE
Brian Quick,3.9,5.0,WR
Brian Tyms,,0.0,WR
Brice Butler,6.0,2.0,WR
Brock Osweiler,12.6,9.0,QB
Broncos D/ST,7.5,3.0,DST
Browns D/ST,3.4,-6.0,DST
Bruce Gradkowski,,0.0,QB
Bruce Miller,,0.0,TE
Bryce Petty,,0.0,QB
Bryce Williams,,0.0,TE
Buccaneers D/ST,7.5,6.0,DST
Busta Anderson,,0.0,TE
C.J. Anderson,13.1,6.0,RB
