names,projected,actual,position
49ers D/ST,3.5,7.0,DST
A.J. Derby,,2.0,TE
A.J. Green,12.0,12.0,WR
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Rodgers,19.5,26.0,QB
Adam Humphries,4.9,4.0,WR
Adam Thielen,5.1,9.0,WR
Adrian Peterson,,0.0,RB
Akeem Hunt,,5.0,RB
Alan Cross,,0.0,TE
Albert Wilson,5.2,2.0,WR
Aldrick Robinson,,0.0,WR
Alex Smith,15.6,0.0,TE
Alex Tanney,,0.0,QB
Alfred Blue,1.5,2.0,RB
Alfred Morris,1.8,1.0,RB
Allen Hurns,6.6,1.0,WR
Allen Robinson,8.4,18.0,WR
Alshon Jeffery,11.4,4.0,WR
Andre Ellington,3.0,0.0,RB
Andre Johnson,,0.0,WR
Andre Williams,,0.0,RB
Andrew Franks,7.2,7.0,K
Andrew Hawkins,1.4,0.0,WR
Andy Dalton,14.8,11.0,QB
Anthony Denham,,0.0,TE
Anthony Fasano,,6.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antone Smith,,0.0,RB
Antonio Andrews,,0.0,RB
Antonio Brown,13.8,21.0,WR
Antonio Gates,8.2,12.0,TE
Arian Foster,,0.0,RB
Arrelious Benn,,0.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,4.9,0.0,TE
Austin Johnson,,0.0,RB
Austin Seferian-Jenkins,,0.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,6.0,2.0,DST
Beau Sandland,,0.0,TE
Ben Braunecker,,0.0,TE
Ben Koyack,,3.0,TE
Ben Roethlisberger,17.6,28.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,5.8,4.0,DST
Benjamin Cunningham,,4.0,RB
Benjamin Watson,,0.0,TE
Bernard Pierce,,0.0,RB
Bilal Powell,2.9,14.0,RB
Billy Cundiff,,0.0,K
Bishop Sankey,,0.0,RB
Blaine Gabbert,,0.0,QB
Blair Walsh,6.9,2.0,K
Blake Bell,,0.0,TE
Blake Bortles,14.9,17.0,QB
Bobby Rainey,,0.0,RB
Braedon Bowman,,0.0,TE
Branden Oliver,,0.0,RB
Brandin Cooks,7.3,15.0,WR
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Bostick,,0.0,TE
Brandon Coleman,1.8,1.0,WR
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,4.1,0.0,WR
Brandon Marshall,8.3,1.0,WR
Brandon McManus,7.8,12.0,K
Brandon Myers,,0.0,TE
Brandon Weeden,,0.0,QB
Brandon Williams,,0.0,TE
Braxton Miller,3.1,1.0,WR
Brent Celek,,0.0,TE
Breshad Perriman,2.8,12.0,WR
Brett Hundley,,0.0,QB
Brian Hartline,,0.0,WR
Brian Hoyer,,0.0,QB
Brian Leonhardt,,0.0,TE
Brian Parker,,0.0,TE
Brian Quick,5.2,1.0,WR
Brice Butler,1.5,,
Brittan Golden,,0.0,WR
Brock Osweiler,12.4,13.0,QB
Broncos D/ST,6.3,12.0,DST
Browns D/ST,6.9,4.0,DST
Bruce Gradkowski,,0.0,QB
Bruce Miller,,0.0,TE
Bryan Walters,,0.0,WR
Bryce Brown,,0.0,RB
Bryce Petty,9.0,8.0,QB
Bryce Treggs,1.6,,
Bryce Williams,,0.0,TE
Buccaneers D/ST,7.1,25.0,DST
Busta Anderson,,0.0,TE
C.J. Anderson,,0.0,RB
C.J. Fiedorowicz,5.4,2.0,TE
C.J. Prosise,6.3,14.0,RB
C.J. Spiller,,0.0,RB
C.J. Uzomah,,0.0,TE
Cairo Santos,7.7,13.0,K
Caleb Sturgis,8.8,9.0,K
Cam Newton,18.7,23.0,QB
Cameron Brate,4.7,14.0,TE
Cameron Meredith,5.3,11.0,WR
Cardinals D/ST,11.1,7.0,DST
Carlos Hyde,6.7,1.0,RB
Carson Palmer,17.6,14.0,QB
Carson Wentz,14.9,8.0,QB
Case Keenum,10.9,7.0,QB
Cecil Shorts III,4.4,3.0,WR
Cedric Peerman,,0.0,RB
Chad Henne,,0.0,QB
Chandler Catanzaro,8.5,11.0,K
Charcandrick West,4.8,0.0,RB
Chargers D/ST,8.0,2.0,DST
Charles Sims,,0.0,RB
Charlie Whitehurst,,0.0,QB
Chase Daniel,,0.0,QB
Chase Ford,,0.0,TE
Chase Reynolds,,0.0,RB
Chiefs D/ST,7.0,13.0,DST
Chris Boswell,7.5,5.0,K
Chris Conley,5.5,1.0,WR
Chris Givens,,0.0,WR
Chris Hogan,4.5,0.0,WR
Chris Ivory,6.8,4.0,RB
Chris Johnson,,0.0,RB
Chris Manhertz,,0.0,TE
Chris Moore,,1.0,WR
Chris Owusu,,0.0,WR
Chris Pantale,,0.0,TE
Chris Polk,,0.0,RB
Chris Thompson,5.4,1.0,RB
Christian Hackenberg,,0.0,QB
Christian Ponder,,0.0,QB
Christine Michael,5.0,2.0,RB
Clark Harris,,0.0,TE
Cobi Hamilton,,3.0,WR
Coby Fleener,4.9,2.0,TE
Cody Kessler,11.9,7.0,QB
Cody Parkey,6.6,1.0,K
Cole Beasley,5.4,3.0,WR
Colin Kaepernick,11.6,23.0,QB
Colt McCoy,,0.0,QB
Connor Barth,6.9,6.0,K
Connor Shaw,,0.0,QB
Cooper Helfet,,0.0,TE
Cordarrelle Patterson,4.2,1.0,WR
Corey Brown,4.1,,
Corey Coleman,6.5,1.0,WR
Cory Harkey,,0.0,RB
Cowboys D/ST,5.7,-3.0,DST
Craig Stevens,,0.0,TE
Crockett Gillmore,,0.0,TE
Cyrus Gray,,0.0,RB
D.J. Williams,,0.0,TE
