names,projected,actual,position
Jeremy Langford,11.2,6.0,RB
Jeremy Maclin,7.7,6.0,WR
Jerick McKinnon,2.8,,
Jermaine Kearse,3.4,,
Jesse James,5.0,8.0,K
Jets D/ST,7.3,0.0,DST
Jimmy Garoppolo,16.1,21.0,QB
Jimmy Graham,3.7,4.0,TE
Joe Flacco,16.0,16.0,QB
John Brown,7.3,,
Jonathan Stewart,10.2,,
Jordan Cameron,4.3,10.0,K
Jordan Gay,,0.0,K
Jordan Matthews,8.0,7.0,K
Jordan Reed,8.9,7.0,K
Jordy Nelson,11.0,13.0,K
Josh Brown,9.5,10.0,K
Josh Lambo,7.9,8.0,K
Josh McCown,14.2,14.0,QB
Josh Scobee,,0.0,K
Julian Edelman,8.8,7.0,K
Julio Jones,12.3,16.0,WR
Julius Thomas,6.5,7.0,K
Justin Forsett,8.2,3.0,RB
Justin Tucker,8.6,15.0,K
Ka'Deem Carey,5.4,,
Kai Forbath,,0.0,K
Kamar Aiken,3.0,,
Kellen Clemens,,0.0,QB
Kellen Winslow,,0.0,TE
Kelvin Benjamin,8.5,22.0,WR
Kenny Britt,4.9,9.0,K
Kenny Stills,6.4,9.0,K
Kenyan Drake,,7.0,K
Kevin White,5.8,,
Kirk Cousins,16.7,18.0,QB
Kyle Brindza,,0.0,K
Kyle Rudolph,4.4,9.0,K
Lamar Miller,11.9,9.0,K
Lance Kendricks,,6.0,TE
Larry Donnell,3.5,2.0,TE
Larry Fitzgerald,8.9,13.0,K
Latavius Murray,9.3,15.0,RB
LeGarrette Blount,10.8,18.0,RB
LeSean McCoy,11.5,8.0,K
Lee Smith,,2.0,TE
Levine Toilolo,,2.0,TE
Lions D/ST,6.6,7.0,K
Luke McCown,,0.0,QB
Luke Willson,2.9,,
Malcolm Mitchell,4.4,,
Marcedes Lewis,,7.0,K
Marcus Mariota,15.2,16.0,QB
Mark Ingram,11.3,4.0,RB
Marqise Lee,3.2,7.0,K
Marquise Goodwin,,17.0,WR
Martellus Bennett,5.2,17.0,TE
Marvin Jones,8.3,11.0,K
Mason Crosby,7.8,2.0,K
Matt Bryant,7.4,9.0,K
Matt Cassel,,0.0,QB
Matt Forte,12.7,28.0,RB
Matt Jones,7.9,12.0,K
Matt Moore,,0.0,QB
Matt Prater,8.7,8.0,K
Matt Ryan,13.9,27.0,QB
Matt Schaub,,0.0,QB
Matthew Stafford,17.6,15.0,QB
Melvin Gordon,7.6,17.0,RB
Michael Crabtree,7.8,9.0,K
Michael Floyd,8.8,6.0,WR
Michael Thomas,7.2,,
Mike Evans,9.5,13.0,K
Mike Gillislee,,7.0,K
Mike Nugent,7.2,10.0,K
Mike Tolbert,,2.0,RB
Mike Vick,,0.0,QB
Mike Wallace,7.0,16.0,WR
Mohamed Sanu,6.7,,
Nelson Agholor,3.9,,
Nick Folk,7.3,13.0,K
Nick Novak,7.8,13.0,K
Niles Paul,,1.0,TE
Odell Beckham Jr.,14.2,8.0,K
PLAYER,0.0,,
Packers D/ST,6.6,9.0,K
Panthers D/ST,10.6,14.0,K
Patrick Murray,7.6,1.0,K
Patriots D/ST,7.4,3.0,DST
Phil Dawson,6.3,9.0,K
Philip Rivers,16.4,23.0,QB
Phillip Dorsett,4.4,,
Pierre Garcon,5.6,,
Quincy Enunwa,4.8,9.0,K
Quinton Patton,4.0,,
Raiders D/ST,5.9,-6.0,DST
Rams D/ST,6.4,8.0,K
Randall Cobb,8.5,,
Randy Bullock,,0.0,K
Rashad Jennings,10.9,3.0,RB
Ravens D/ST,7.0,10.0,K
Redskins D/ST,5.8,5.0,DST
Richard Rodgers,,2.0,TE
Rishard Matthews,3.8,,
Robbie Gould,,0.0,K
Robert Turbin,,7.0,K
Robert Woods,4.4,,
Roberto Aguayo,7.9,0.0,K
Russell Wilson,16.5,11.0,K
Ryan Fitzpatrick,14.7,20.0,QB
Ryan Mathews,8.2,15.0,RB
Ryan Succop,7.0,4.0,K
Ryan Tannehill,14.5,22.0,QB
Saints D/ST,2.4,6.0,DST
Sam Bradford,10.6,19.0,QB
Sammie Coates,4.7,9.0,K
Sammy Watkins,8.6,,
Seahawks D/ST,10.0,8.0,K
Sebastian Janikowski,7.7,3.0,K
Seth Roberts,3.5,,
Shane Vereen,7.2,4.0,RB
Shaun Draughn,3.9,,
Shaun Hill,,0.0,QB
Shaun Suisham,,0.0,K
Shayne Graham,,0.0,K
Spencer Ware,10.5,7.0,K
Steelers D/ST,5.5,3.0,DST
Stefon Diggs,6.6,24.0,WR
Stephen Anderson,,1.0,TE
Stephen Gostkowski,8.5,6.0,K
Sterling Shepard,8.2,11.0,K
Steve Smith Sr.,7.7,6.0,WR
Steven Hauschka,8.5,3.0,K
T.J. Yeldon,11.2,3.0,RB
T.Y. Hilton,8.1,,
Tajae Sharpe,6.6,,
Tarvaris Jackson,,0.0,QB
Tavon Austin,5.3,,
Ted Ginn Jr.,4.7,,
Terrance West,8.2,5.0,RB
Terrance Williams,4.4,,
Terrelle Pryor,6.1,,
Tevin Coleman,5.8,12.0,K
Texans D/ST,6.3,15.0,DST
Theo Riddick,8.4,5.0,RB
Thomas Rawls,9.3,,
Tim Hightower,3.2,,
Titans D/ST,5.2,6.0,DST
Todd Gurley,9.2,6.0,RB
Tom Brady,,0.0,QB
Tony Romo,,0.0,QB
Torrey Smith,6.5,11.0,K
Travaris Cadet,3.2,,
Travis Benjamin,8.2,23.0,WR
Travis Coons,,0.0,K
Travis Kelce,6.5,3.0,TE
Trevor Siemian,12.6,10.0,K
Trey Burton,2.9,10.0,K
Tyler Boyd,4.3,,
Tyler Kroft,,3.0,TE
Tyler Lockett,6.3,9.0,K
Tyrell Williams,5.9,12.0,K
Tyrod Taylor,14.7,23.0,QB
Vance McDonald,2.9,13.0,K
Vernon Davis,,5.0,TE
Victor Cruz,5.8,7.0,K
Vikings D/ST,5.8,14.0,K
Vincent Jackson,6.7,,
Virgil Green,3.4,4.0,TE
Wil Lutz,7.0,7.0,K
Will Fuller,7.2,10.0,K
Will Tye,3.4,1.0,TE
Willie Snead,7.8,11.0,K
Xavier Grimble,,8.0,K
Zach Hocker,,0.0,K
Zach Miller,5.6,3.0,TE
