names,projected,actual,position
49ers D/ST,3.6,-3.0,DST
A.J. Green,12.0,0.0,WR
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Rodgers,17.4,29.0,QB
Adam Humphries,4.5,4.0,WR
Adam Thielen,6.3,12.0,WR
Adam Vinatieri,9.6,6.0,K
Adrian Peterson,,0.0,RB
Ahmad Bradshaw,,0.0,RB
Akeem Hunt,3.8,,
Alan Cross,,6.0,TE
Albert Wilson,4.2,7.0,WR
Alex Smith,14.3,0.0,TE
Alex Tanney,,0.0,QB
Alfred Blue,,0.0,RB
Alfred Morris,3.2,0.0,RB
Allen Hurns,7.8,,
Allen Robinson,10.9,7.0,WR
Alshon Jeffery,,0.0,WR
Amari Cooper,9.3,11.0,WR
Andre Ellington,1.5,2.0,RB
Andre Holmes,1.6,0.0,WR
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,,0.0,WR
Andre Roberts,2.0,8.0,WR
Andrew Franks,6.1,2.0,K
Andrew Hawkins,2.6,2.0,WR
Andrew Luck,19.3,18.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,15.7,15.0,QB
Anquan Boldin,5.0,3.0,WR
Anthony Denham,,0.0,TE
Anthony Fasano,,0.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antone Smith,,0.0,RB
Antonio Andrews,,0.0,RB
Antonio Brown,13.4,7.0,WR
Arian Foster,,0.0,RB
Arrelious Benn,,0.0,WR
Austin Johnson,,0.0,RB
Bear Pascoe,,0.0,TE
Bears D/ST,5.3,0.0,DST
Beau Sandland,,0.0,TE
Ben Braunecker,,0.0,TE
Ben Koyack,,0.0,TE
Ben Roethlisberger,18.7,8.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,7.7,5.0,DST
Benjamin Cunningham,2.8,0.0,RB
Benjamin Watson,,0.0,TE
Bills D/ST,5.5,8.0,DST
Billy Cundiff,,0.0,K
Bishop Sankey,,0.0,RB
Blaine Gabbert,,0.0,QB
Blair Walsh,,0.0,K
Blake Annen,,0.0,TE
Blake Bell,,0.0,TE
Blake Bortles,18.0,12.0,QB
Bobby Rainey,,0.0,RB
Boobie Dixon,,0.0,RB
Brandin Cooks,8.4,4.0,WR
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Coleman,3.0,6.0,WR
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,4.2,3.0,WR
Brandon Myers,,0.0,TE
Brandon Pettigrew,,0.0,TE
Brandon Tate,,4.0,WR
Brandon Weeden,,0.0,QB
Brandon Williams,,0.0,TE
Braxton Miller,2.7,8.0,WR
Brent Celek,,1.0,TE
Breshad Perriman,4.8,,
Brett Hundley,,-2.0,QB
Brian Hartline,,0.0,WR
Brian Hoyer,,0.0,QB
Brian Leonhardt,,0.0,TE
Brian Quick,4.2,2.0,WR
Brian Tyms,,0.0,WR
Brice Butler,,4.0,WR
Brock Osweiler,13.3,12.0,QB
Browns D/ST,4.3,0.0,DST
Bruce Gradkowski,,0.0,QB
Bruce Miller,,0.0,TE
Bryan Walters,,0.0,WR
Bryce Brown,,0.0,RB
Bryce Williams,,0.0,TE
Buccaneers D/ST,6.0,5.0,DST
Busta Anderson,,0.0,TE
C.J. Fiedorowicz,6.2,8.0,TE
C.J. Prosise,8.9,13.0,RB
C.J. Uzomah,,0.0,TE
Cairo Santos,8.6,5.0,K
Caleb Sturgis,8.1,1.0,K
Calvin Johnson,,0.0,WR
Cam Newton,20.9,11.0,QB
Cameron Brate,4.5,1.0,TE
Cameron Meredith,6.4,4.0,WR
Cardale Jones,,0.0,QB
Cardinals D/ST,7.7,7.0,DST
Carlos Hyde,9.9,10.0,RB
Carson Palmer,12.9,12.0,QB
Carson Wentz,11.6,14.0,QB
Case Keenum,,0.0,QB
Cecil Shorts III,2.8,6.0,WR
Cedric Peerman,,0.0,RB
Chad Henne,,0.0,QB
Chandler Catanzaro,6.1,6.0,K
Charcandrick West,4.5,4.0,RB
Charles Clay,4.5,2.0,TE
Charles Sims,,0.0,RB
Charlie Whitehurst,,0.0,QB
Chase Coffman,,0.0,TE
Chase Daniel,,0.0,QB
Chase Ford,,0.0,TE
Chase Reynolds,,0.0,RB
Chiefs D/ST,7.0,0.0,DST
Chris Boswell,7.6,10.0,K
Chris Conley,4.3,2.0,WR
Chris Givens,,0.0,WR
Chris Gragg,,0.0,TE
Chris Harper,1.4,3.0,WR
Chris Hogan,,0.0,WR
Chris Ivory,6.5,8.0,RB
Chris Johnson,,0.0,RB
Chris Manhertz,,0.0,TE
Chris Pantale,,0.0,TE
Chris Polk,,0.0,RB
Chris Thompson,5.5,1.0,RB
Christian Ponder,,0.0,QB
Christine Michael,,0.0,RB
Clark Harris,,0.0,TE
Clay Harbor,,0.0,TE
Clive Walford,3.4,2.0,TE
Cobi Hamilton,4.7,1.0,WR
Coby Fleener,4.8,7.0,TE
Cody Kessler,13.7,3.0,QB
Cody Parkey,7.4,3.0,K
Cole Beasley,6.6,11.0,WR
Cole Wick,,0.0,TE
Colin Kaepernick,14.5,19.0,QB
Colt McCoy,,0.0,QB
Colts D/ST,5.3,5.0,DST
Connor Barth,5.9,4.0,K
Connor Cook,,0.0,QB
Connor Shaw,,0.0,QB
Cooper Helfet,,0.0,TE
Cordarrelle Patterson,4.2,11.0,WR
Corey Brown,2.9,,
Corey Coleman,7.6,3.0,WR
Cory Harkey,,0.0,RB
Cowboys D/ST,7.5,1.0,DST
Craig Stevens,,0.0,TE
Crockett Gillmore,,0.0,TE
D.J. Williams,,0.0,TE
Dak Prescott,14.8,25.0,QB
Damien Williams,2.7,0.0,RB
Dan Bailey,9.7,9.0,K
Dan Carpenter,7.8,12.0,K
Dan LeFevour,,0.0,QB
Dan Orlovsky,,0.0,QB
Dan Vitale,,0.0,TE
Daniel Brown,,0.0,TE
Daniel Fells,,0.0,TE
Daniel Herron,,0.0,RB
Daniel Thomas,,0.0,RB
Danny Amendola,6.2,6.0,WR
Darrel Young,,0.0,RB
Darren Fells,,2.0,TE
Darren McFadden,,0.0,RB
Darren Sproles,6.7,1.0,RB
Darren Waller,,0.0,TE
Darrin Reaves,,0.0,RB
Darrius Heyward-Bey,,0.0,WR
Daryl Richardson,,0.0,RB
Davante Adams,7.6,4.0,WR
David Ausberry,,0.0,TE
David Fales,,0.0,QB
David Johnson,15.0,2.0,TE
David Morgan II,,0.0,TE
DeAndre Hopkins,9.5,5.0,WR
DeAndre Washington,4.0,,
DeAngelo Williams,,0.0,RB
DeMarco Murray,15.2,13.0,RB
DeSean Jackson,6.5,11.0,WR
DeVante Parker,6.6,13.0,WR
Delanie Walker,10.1,3.0,TE
Demetrius Harris,3.0,0.0,TE
Denard Robinson,,2.0,RB
Denarius Moore,,0.0,WR
Dennis Pitta,5.0,3.0,TE
Deonte Thompson,1.5,1.0,WR
Derek Anderson,,0.0,QB
Derek Carr,16.2,21.0,QB
Derek Carrier,,0.0,TE
Derek Hagan,,0.0,WR
Derrick Coleman,,0.0,RB
Derrick Henry,3.5,,
Devin Funchess,4.5,3.0,WR
Devin Hester,,0.0,WR
Dez Bryant,8.9,20.0,WR
Dillon Gordon,,0.0,TE
Dion Lewis,1.8,4.0,RB
Dion Sims,1.6,2.0,TE
Dolphins D/ST,8.2,8.0,DST
Dominique Jones,,0.0,TE
Donald Brown,,0.0,RB
Donte Moncrief,8.8,9.0,WR
Dorial Green-Beckham,4.0,11.0,WR
Doug Baldwin,7.9,14.0,WR
Doug Martin,8.4,10.0,RB
Drew Brees,18.6,15.0,QB
Drew Stanton,,0.0,QB
Dri Archer,,0.0,RB
DuJuan Harris,4.2,0.0,RB
Duke Johnson Jr.,7.0,5.0,RB
Dustin Hopkins,9.3,6.0,K
Dustin Vaughan,,0.0,QB
Dwayne Allen,4.9,0.0,TE
Dwayne Bowe,,0.0,WR
Dwayne Harris,,0.0,WR
Dwayne Washington,5.0,1.0,RB
Dylan Thompson,,0.0,QB
E.J. Bibbs,,0.0,TE
EJ Manuel,,0.0,QB
Eagles D/ST,7.9,0.0,DST
Ed Dickson,1.5,0.0,TE
Eddie Lacy,,0.0,RB
Eddie Royal,5.1,1.0,WR
Eli Manning,15.3,17.0,QB
Eli Rogers,5.9,2.0,WR
Eric Ebron,7.2,13.0,TE
Erik Swoope,,0.0,TE
Ezekiel Elliott,13.5,12.0,RB
