names,projected,actual,position
A.J. Derby,,0.0,TE
A.J. Green,11.4,12.0,WR
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Ripkowski,0.5,3.0,RB
Aaron Rodgers,20.7,33.0,QB
Adam Humphries,6.1,5.0,WR
Adam Thielen,5.2,4.0,WR
Adam Vinatieri,10.1,2.0,K
Adrian Peterson,,0.0,RB
Ahmad Bradshaw,,0.0,RB
Alan Cross,,0.0,TE
Albert Wilson,2.6,,
Aldrick Robinson,1.5,0.0,WR
Alex Collins,0.7,,
Alex Smith,16.6,0.0,TE
Alex Tanney,,0.0,QB
Alfred Blue,3.8,4.0,RB
Alfred Morris,2.7,0.0,RB
Allen Hurns,6.5,15.0,WR
Allen Robinson,9.4,7.0,WR
Alshon Jeffery,8.4,12.0,WR
Amari Cooper,10.4,23.0,WR
Ameer Abdullah,,0.0,RB
Andre Ellington,1.8,1.0,RB
Andre Holmes,1.5,0.0,WR
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,2.3,0.0,WR
Andre Roberts,0.7,0.0,WR
Andre Williams,,0.0,RB
Andrew Hawkins,3.7,15.0,WR
Andrew Luck,16.2,18.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,14.9,19.0,QB
Andy Janovich,0.6,,
Anquan Boldin,5.7,0.0,WR
Anthony Denham,,0.0,TE
Anthony Fasano,0.7,0.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antone Smith,1.4,1.0,RB
Antonio Andrews,,0.0,RB
Antonio Gates,6.1,9.0,TE
Arrelious Benn,,0.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,0.5,4.0,TE
Austin Johnson,,0.0,RB
Austin Seferian-Jenkins,,0.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,5.8,10.0,DST
Beau Sandland,,0.0,TE
Ben Braunecker,,0.0,TE
Ben Koyack,,4.0,TE
Bengals D/ST,5.3,-3.0,DST
Bennie Fowler,1.6,,
Bernard Pierce,,0.0,RB
Bilal Powell,6.6,13.0,RB
Bills D/ST,4.8,1.0,DST
Billy Cundiff,,0.0,K
Bishop Sankey,,0.0,RB
Blair Walsh,8.5,4.0,K
Blake Annen,,0.0,TE
Blake Bortles,13.6,29.0,QB
Boobie Dixon,,0.0,RB
Braedon Bowman,,0.0,TE
Branden Oliver,,0.0,RB
Brandin Cooks,9.3,10.0,WR
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Bostick,1.6,0.0,TE
Brandon Coleman,,4.0,WR
Brandon Gibson,,0.0,WR
Brandon LaFell,5.3,0.0,WR
Brandon Marshall,10.9,6.0,WR
Brandon McManus,8.7,9.0,K
Brandon Myers,,0.0,TE
Brandon Pettigrew,,0.0,TE
Brandon Tate,,2.0,WR
Brandon Weeden,,0.0,QB
Brandon Williams,,0.0,TE
Braxton Miller,,1.0,WR
Brent Celek,,0.0,TE
Brett Hundley,,0.0,QB
Brian Hartline,,0.0,WR
Brian Hoyer,,0.0,QB
Brian Leonhardt,,0.0,TE
Brian Parker,,0.0,TE
Brian Tyms,,0.0,WR
Brice Butler,,1.0,WR
Brittan Golden,,2.0,WR
Brock Osweiler,14.5,9.0,QB
Broncos D/ST,6.5,17.0,DST
Browns D/ST,6.5,0.0,DST
Bryan Walters,,7.0,WR
Bryce Brown,,0.0,RB
Bryce Petty,,0.0,QB
Bryce Williams,,0.0,TE
Buccaneers D/ST,5.5,-4.0,DST
C.J. Anderson,,0.0,RB
C.J. Fiedorowicz,4.8,10.0,TE
C.J. Prosise,4.0,10.0,RB
C.J. Spiller,,0.0,RB
C.J. Uzomah,,0.0,TE
Cairo Santos,8.3,12.0,K
Caleb Sturgis,6.9,13.0,K
Calvin Johnson,,0.0,WR
Cam Newton,17.0,12.0,QB
Cameron Brate,5.9,8.0,TE
Cameron Meredith,6.2,2.0,WR
Cardale Jones,,0.0,QB
Cardinals D/ST,7.8,2.0,DST
Carson Palmer,16.5,22.0,QB
Carson Wentz,13.7,12.0,QB
Cecil Shorts III,3.3,0.0,WR
Cedric Peerman,,0.0,RB
