names,projected,actual,position
49ers D/ST,6.9,-1.0,DST
A.J. Derby,,0.0,TE
A.J. Green,11.4,8.0,WR
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Rodgers,19.1,11.0,QB
Adam Vinatieri,8.6,12.0,K
Ahmad Bradshaw,,0.0,RB
Albert Wilson,2.6,2.0,WR
Alex Collins,,6.0,RB
Alex Smith,17.9,0.0,TE
Alex Tanney,,0.0,QB
Alfred Blue,,1.0,RB
Alfred Morris,1.9,0.0,RB
Allen Hurns,6.9,7.0,WR
Allen Robinson,11.6,4.0,WR
Alshon Jeffery,8.7,9.0,WR
Amari Cooper,8.4,12.0,WR
Andre Ellington,1.8,2.0,RB
Andre Holmes,,7.0,WR
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,3.4,0.0,WR
Andre Roberts,1.9,7.0,WR
Andre Williams,,0.0,RB
Andrew Franks,6.0,10.0,K
Andrew Hawkins,3.7,4.0,WR
Andrew Luck,15.7,23.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,13.9,21.0,QB
Anquan Boldin,6.7,12.0,WR
Anthony Fasano,,7.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antonio Andrews,,0.0,RB
Antonio Brown,15.4,3.0,WR
Antonio Gates,6.4,1.0,TE
Arian Foster,8.6,1.0,RB
Arrelious Benn,,11.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,,0.0,TE
Austin Seferian-Jenkins,,0.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,8.5,7.0,DST
Beau Sandland,,0.0,TE
Ben Braunecker,,0.0,TE
Ben Koyack,,0.0,TE
Ben Roethlisberger,19.2,9.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,5.0,-3.0,DST
Benjamin Cunningham,,1.0,RB
Benjamin Watson,,0.0,TE
Bennie Fowler,,8.0,WR
Bernard Pierce,,0.0,RB
Bilal Powell,5.0,2.0,RB
Bills D/ST,8.2,6.0,DST
Billy Cundiff,,0.0,K
Bishop Sankey,,0.0,RB
Blaine Gabbert,,0.0,QB
Blake Annen,,0.0,TE
Blake Bell,,0.0,TE
Blake Bortles,15.8,10.0,QB
Bobby Rainey,4.1,2.0,RB
Boobie Dixon,,0.0,RB
Bradley Marquez,,1.0,WR
Branden Oliver,,0.0,RB
Brandin Cooks,9.7,23.0,WR
Brandon Allen,,0.0,QB
Brandon Bolden,,0.0,RB
Brandon Bostick,,0.0,TE
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,6.3,7.0,WR
Brandon Marshall,9.3,7.0,WR
Brandon McManus,8.0,7.0,K
Brandon Pettigrew,,0.0,TE
Brandon Tate,,0.0,WR
Brandon Weeden,,0.0,QB
Brandon Williams,,0.0,TE
Braxton Miller,4.3,1.0,WR
Brent Celek,,0.0,TE
Breshad Perriman,4.1,4.0,WR
Brett Hundley,,0.0,QB
Brian Hartline,,0.0,WR
Brian Hoyer,13.4,12.0,QB
Brian Quick,4.0,6.0,WR
Brice Butler,5.6,8.0,WR
Brock Osweiler,15.1,16.0,QB
Broncos D/ST,9.4,8.0,DST
Browns D/ST,5.7,0.0,DST
Bruce Gradkowski,,0.0,QB
Bruce Miller,,0.0,TE
Bryan Walters,,0.0,WR
Bryce Brown,,0.0,RB
Bryce Petty,,0.0,QB
Busta Anderson,,0.0,TE
C.J. Anderson,13.1,6.0,RB
C.J. Fiedorowicz,3.7,14.0,TE
C.J. Spiller,3.0,3.0,RB
C.J. Uzomah,4.4,0.0,TE
Cairo Santos,7.6,8.0,K
Caleb Sturgis,7.6,8.0,K
