names,projected,actual,position
49ers D/ST,6.2,-3.0,DST
A.J. Derby,,0.0,TE
A.J. Green,12.0,22.0,WR
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Rodgers,19.1,23.0,QB
Adam Humphries,5.0,1.0,WR
Adam Thielen,5.1,5.0,WR
Adam Vinatieri,8.8,10.0,K
Adrian Peterson,,0.0,RB
Ahmad Bradshaw,,0.0,RB
Albert Wilson,2.6,,
Aldrick Robinson,2.9,0.0,WR
Alex Smith,17.2,0.0,TE
Alex Tanney,,0.0,QB
Alfred Blue,,4.0,RB
Allen Hurns,8.5,4.0,WR
Allen Robinson,13.2,,
Alshon Jeffery,10.3,3.0,WR
Amari Cooper,10.0,2.0,WR
Andre Ellington,,0.0,RB
Andre Holmes,,0.0,WR
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,3.4,0.0,WR
Andre Roberts,2.1,2.0,WR
Andre Williams,,0.0,RB
Andrew Franks,6.2,8.0,K
Andrew Hawkins,3.6,1.0,WR
Andrew Luck,16.5,27.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,18.1,20.0,QB
Andy Janovich,,1.0,RB
Anquan Boldin,8.3,8.0,WR
Anthony Fasano,,1.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antone Smith,,4.0,RB
Antonio Brown,10.2,11.0,WR
Antonio Gates,7.9,3.0,TE
Arian Foster,3.2,0.0,RB
Arrelious Benn,,3.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,,0.0,TE
Austin Seferian-Jenkins,,0.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,6.7,9.0,DST
Ben Braunecker,,0.0,TE
Ben Koyack,,0.0,TE
Ben Roethlisberger,,0.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,7.9,6.0,DST
Benjamin Cunningham,,0.0,RB
Benjamin Watson,,0.0,TE
Bernard Pierce,,0.0,RB
Bilal Powell,5.2,1.0,RB
Bills D/ST,8.0,-5.0,DST
Billy Cundiff,,0.0,K
Bishop Sankey,,0.0,RB
Blaine Gabbert,,0.0,QB
Blair Walsh,7.9,5.0,K
Blake Annen,,0.0,TE
Blake Bell,,0.0,TE
Blake Bortles,18.7,12.0,QB
Bobby Rainey,4.2,0.0,RB
Boobie Dixon,,0.0,RB
Brandin Cooks,9.5,11.0,WR
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Bostick,,0.0,TE
Brandon Coleman,,7.0,WR
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,5.5,14.0,WR
Brandon Marshall,8.3,3.0,WR
Brandon McManus,7.4,9.0,K
Brandon Myers,,0.0,TE
Brandon Pettigrew,,0.0,TE
